timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
590236,35.36,35.66,99.03,28390,60000,2.55,1.46,2.25,2.09
590486,35.36,35.66,99.04,28073,60000,2.55,1.46,2.25,2.09
590736,35.36,35.67,99.03,28376,60000,2.55,1.47,2.25,2.09
590986,35.37,35.66,99.03,28376,60000,2.55,1.47,2.25,2.09
591236,35.37,35.65,99.03,28459,60000,2.55,1.47,2.26,2.09
591486,35.37,35.67,99.03,28459,60000,2.55,1.47,2.26,2.10
591736,35.38,35.67,99.03,28266,60000,2.55,1.47,2.26,2.10
591986,35.38,35.64,99.04,28307,60000,2.56,1.47,2.26,2.10
