timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
840236,29.99,24.19,99.91,21539,60000,3.11,2.87,3.03,2.21
840486,29.99,24.19,99.91,21181,60000,3.11,2.86,3.03,2.20
840736,29.99,24.17,99.91,20795,60000,3.11,2.86,3.02,2.18
840986,29.99,24.20,99.91,20850,60000,3.11,2.86,3.02,2.17
841236,30.00,24.21,99.91,20450,60000,3.11,2.86,3.03,2.17
841486,30.00,24.25,99.91,20078,60000,3.11,2.85,3.02,2.16
841736,30.00,24.28,99.91,19554,60000,3.11,2.85,3.03,2.15
841986,30.01,24.34,99.91,19485,60000,3.11,2.85,3.02,2.15
