timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
2770237,33.53,39.20,99.01,57330,60000,2.19,1.53,1.07,2.35
2770487,33.53,39.21,99.01,57330,60000,2.19,1.53,1.07,2.33
2770737,33.54,39.24,99.01,57330,60000,2.19,1.53,1.07,2.32
2770987,33.54,39.22,99.01,57330,60000,2.19,1.53,1.07,2.30
2771237,33.54,39.22,99.01,57330,60000,2.19,1.53,1.08,2.29
2771487,33.54,39.21,99.01,57330,60000,2.18,1.52,1.08,2.28
2771737,33.54,39.20,99.01,57330,60000,2.19,1.52,1.08,2.27
2771987,33.54,39.21,99.00,57330,60000,2.19,1.53,1.08,2.26
