timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
10376242,33.52,64.46,99.47,57330,60000,3.12,2.22,2.96,2.93
10376492,33.53,64.45,99.47,57330,60000,3.11,2.21,2.96,2.93
10376742,33.54,64.47,99.47,57330,60000,3.11,2.17,2.96,2.93
10376992,33.54,64.46,99.47,57330,60000,3.11,2.14,2.96,2.92
10377242,33.54,64.48,99.47,57330,60000,3.11,2.10,2.96,2.92
10377492,33.55,64.48,99.47,57330,60000,3.10,2.08,2.96,2.91
10377742,33.55,64.48,99.47,57330,60000,3.10,2.07,2.96,2.91
10377992,33.55,64.46,99.47,57330,60000,3.10,2.07,2.96,2.90
