timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
3750237,34.01,62.64,99.96,11719,60000,2.65,1.57,2.15,2.50
3750487,34.01,62.67,99.96,11701,60000,2.65,1.57,2.15,2.50
3750737,34.01,62.67,99.96,11742,60000,2.65,1.57,2.15,2.50
3750987,34.01,62.71,99.96,11620,60000,2.65,1.57,2.15,2.50
3751237,34.01,62.70,99.96,11759,60000,2.65,1.57,2.15,2.50
3751487,34.02,62.74,99.96,11649,60000,2.65,1.57,2.15,2.49
3751737,34.02,62.76,99.96,11667,60000,2.65,1.57,2.15,2.50
3751987,34.02,62.79,99.96,11655,60000,2.65,1.57,2.15,2.49
