timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
2546928,36.14,55.63,99.62,5296,60000,2.19,0.76,1.71,1.20
2547178,36.14,55.59,99.62,5070,60000,2.19,0.76,1.71,1.20
2547428,36.14,55.53,99.62,5001,60000,2.19,0.76,1.70,1.19
2547678,36.14,55.45,99.62,4882,60000,2.19,0.75,1.70,1.18
2547928,36.13,55.38,99.62,4813,60000,2.19,0.74,1.70,1.16
2548178,36.13,55.26,99.62,4732,60000,2.18,0.73,1.70,1.15
2548428,36.13,55.12,99.62,4685,60000,2.18,0.72,1.70,1.14
2548678,36.12,54.94,99.62,4582,60000,2.18,0.70,1.70,1.12
