timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1030236,37.22,32.19,99.02,57330,60000,3.04,2.75,3.00,2.43
1030486,37.22,32.21,99.02,57330,60000,3.04,2.75,3.00,2.43
1030736,37.22,32.21,99.01,57330,60000,3.04,2.75,3.00,2.43
1030986,37.22,32.22,99.02,57330,60000,3.04,2.75,3.00,2.43
1031236,37.22,32.21,99.02,57330,60000,3.04,2.75,3.00,2.43
1031486,37.23,32.21,99.02,57330,60000,3.04,2.75,3.01,2.43
1031736,37.23,32.20,99.02,57330,60000,3.04,2.75,3.00,2.43
1031986,37.23,32.20,99.02,57330,60000,3.04,2.75,3.00,2.43
