timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
11458239,32.71,40.28,99.09,57330,60000,2.55,1.11,2.41,1.59
11458489,32.71,40.29,99.09,57330,60000,2.55,1.12,2.41,1.60
11458739,32.71,40.30,99.09,57330,60000,2.55,1.12,2.41,1.59
11458989,32.71,40.28,99.09,57330,60000,2.55,1.12,2.41,1.58
11459239,32.72,40.30,99.09,57330,60000,2.55,1.12,2.40,1.55
11459489,32.72,40.29,99.09,57330,60000,2.55,1.11,2.40,1.53
11459739,32.72,40.29,99.10,57330,60000,2.55,1.09,2.40,1.51
11459989,32.73,40.28,99.10,57330,60000,2.55,1.08,2.39,1.50
