timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
7374238,32.73,36.10,99.06,9263,60000,3.05,2.65,3.01,2.46
7374488,32.73,36.09,99.06,9333,60000,3.05,2.65,3.01,2.46
7374738,32.73,36.07,99.06,9396,60000,3.05,2.65,3.01,2.46
7374988,32.73,36.08,99.06,9385,60000,3.05,2.65,3.01,2.46
7375238,32.73,36.08,99.06,9292,60000,3.05,2.65,3.01,2.46
7375488,32.73,36.10,99.06,9327,60000,3.05,2.65,3.01,2.46
7375738,32.74,36.08,99.06,9298,60000,3.05,2.65,3.01,2.46
7375988,32.73,36.08,99.06,9298,60000,3.05,2.65,3.01,2.46
