timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
5550239,32.39,31.26,99.50,2828,60000,3.12,2.83,3.06,2.66
5550489,32.40,31.22,99.50,2808,60000,3.12,2.83,3.05,2.66
5550739,32.40,31.19,99.50,2823,60000,3.12,2.83,3.05,2.66
5550989,32.40,31.16,99.50,2862,60000,3.12,2.83,3.05,2.66
5551239,32.40,31.12,99.50,2838,60000,3.12,2.83,3.05,2.66
5551489,32.40,31.10,99.50,2815,60000,3.12,2.83,3.05,2.66
5551739,32.41,31.06,99.50,2835,60000,3.12,2.83,3.06,2.66
5551989,32.41,31.03,99.50,2867,60000,3.12,2.83,3.05,2.66
