timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
3440273,34.19,60.78,99.86,57330,60000,3.13,2.22,3.01,3.01
3440523,34.19,60.76,99.87,57330,60000,3.14,2.22,3.01,3.00
3440773,34.19,60.76,99.87,57330,60000,3.13,2.21,3.01,3.00
3441023,34.20,60.76,99.87,57330,60000,3.13,2.21,3.01,3.00
3441273,34.20,60.73,99.87,57330,60000,3.14,2.21,3.01,3.00
3441523,34.20,60.73,99.86,57330,60000,3.13,2.21,3.01,3.00
3441773,34.20,60.72,99.86,57330,60000,3.13,2.21,3.01,2.99
3442023,34.20,60.71,99.86,57330,60000,3.13,2.20,3.01,2.99
