timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
60398286,30.26,49.97,99.84,10885,60000,2.47,1.52,1.97,2.39
60398536,30.26,50.03,99.84,10995,60000,2.47,1.51,1.96,2.39
60398786,30.26,50.09,99.84,11197,60000,2.47,1.52,1.96,2.40
60399036,30.27,50.17,99.84,11308,60000,2.47,1.52,1.97,2.42
60399286,30.27,50.23,99.84,11406,60000,2.48,1.53,1.97,2.45
60399536,30.28,50.31,99.84,11458,60000,2.48,1.54,1.98,2.49
60399786,30.28,50.36,99.84,11806,60000,2.48,1.54,1.98,2.52
60400036,30.28,50.43,99.84,12924,60000,2.48,1.55,1.98,2.54
