timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
3498237,34.61,49.28,99.06,57330,60000,2.48,0.81,2.31,1.35
3498487,34.61,49.29,99.06,57330,60000,2.48,0.81,2.31,1.36
3498737,34.61,49.28,99.06,57330,60000,2.48,0.81,2.31,1.37
3498987,34.61,49.26,99.06,57330,60000,2.48,0.81,2.31,1.36
3499237,34.61,49.27,99.06,57330,60000,2.48,0.81,2.31,1.36
3499487,34.61,49.25,99.06,57330,60000,2.48,0.81,2.31,1.35
3499737,34.60,49.27,99.06,57330,60000,2.48,0.80,2.31,1.34
3499987,34.61,49.26,99.06,57330,60000,2.48,0.80,2.31,1.33
