timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
3652237,28.33,60.03,99.95,57330,60000,3.16,2.67,3.03,3.14
3652487,28.34,60.06,99.95,57330,60000,3.16,2.68,3.04,3.14
3652737,28.35,60.12,99.95,57330,60000,3.16,2.69,3.04,3.15
3652987,28.35,60.16,99.95,57330,60000,3.16,2.70,3.04,3.15
3653237,28.35,60.19,99.95,57330,60000,3.16,2.70,3.04,3.14
3653487,28.35,60.22,99.95,57330,60000,3.16,2.69,3.04,3.10
3653737,28.36,60.19,99.95,57330,60000,3.15,2.67,3.04,3.07
3653987,28.36,60.16,99.95,57330,60000,3.15,2.65,3.03,3.03
