timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
688927,33.54,36.76,99.62,17252,60000,2.59,1.45,2.21,1.96
689177,33.54,36.77,99.62,17873,60000,2.60,1.47,2.21,1.97
689427,33.54,36.77,99.62,18686,60000,2.60,1.47,2.22,1.98
689677,33.55,36.77,99.62,19830,60000,2.61,1.47,2.23,1.98
689927,33.55,36.77,99.62,21525,60000,2.61,1.47,2.23,1.98
690177,33.56,36.80,99.62,23042,60000,2.61,1.48,2.24,1.98
690427,33.55,36.80,99.62,24199,60000,2.62,1.49,2.25,1.97
690677,33.56,36.82,99.62,25702,60000,2.62,1.49,2.25,1.95
