timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
10672239,33.19,39.01,99.06,57330,60000,2.35,1.97,1.14,2.55
10672489,33.19,39.03,99.06,57330,60000,2.35,1.97,1.14,2.54
10672739,33.20,39.03,99.06,57330,60000,2.35,1.97,1.14,2.55
10672989,33.20,39.02,99.06,57330,60000,2.35,1.97,1.14,2.55
10673239,33.20,39.02,99.06,57330,60000,2.35,1.97,1.14,2.55
10673489,33.20,39.02,99.06,57330,60000,2.35,1.98,1.15,2.55
10673739,33.21,39.02,99.06,57330,60000,2.35,1.98,1.14,2.55
10673989,33.21,39.04,99.06,57330,60000,2.35,1.97,1.14,2.55
