timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1230237,31.77,60.63,99.84,57330,60000,2.58,1.41,1.87,2.65
1230487,31.77,60.58,99.84,57330,60000,2.57,1.41,1.87,2.65
1230737,31.78,60.52,99.85,57330,60000,2.57,1.41,1.87,2.65
1230987,31.78,60.45,99.85,57330,60000,2.58,1.41,1.87,2.65
1231237,31.78,60.38,99.85,57330,60000,2.57,1.41,1.87,2.64
1231487,31.78,60.34,99.84,57330,60000,2.57,1.41,1.87,2.64
1231737,31.78,60.28,99.85,57330,60000,2.58,1.41,1.88,2.64
1231987,31.79,60.23,99.84,57330,60000,2.58,1.41,1.87,2.64
