timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1226236,32.62,35.47,99.02,57330,60000,3.11,2.44,2.99,3.08
1226486,32.63,35.46,99.03,57330,60000,3.11,2.45,2.99,3.09
1226736,32.64,35.48,99.02,57330,60000,3.11,2.46,3.00,3.10
1226986,32.64,35.48,99.02,57330,60000,3.11,2.46,3.00,3.12
1227236,32.64,35.49,99.02,57330,60000,3.11,2.46,3.00,3.13
1227486,32.64,35.47,99.02,57330,60000,3.11,2.45,3.00,3.13
1227736,32.64,35.48,99.02,57330,60000,3.11,2.43,3.00,3.14
1227986,32.65,35.47,99.02,57330,60000,3.11,2.43,3.00,3.14
