timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
7144240,33.73,21.75,99.45,24599,60000,3.12,2.85,3.07,2.51
7144490,33.73,21.73,99.45,24434,60000,3.12,2.85,3.07,2.52
7144740,33.74,21.71,99.46,24668,60000,3.11,2.85,3.07,2.51
7144990,33.74,21.69,99.46,24572,60000,3.12,2.85,3.07,2.51
7145240,33.74,21.64,99.46,24682,60000,3.12,2.85,3.07,2.51
7145490,33.75,21.63,99.46,24613,60000,3.12,2.84,3.07,2.51
7145740,33.75,21.61,99.45,24337,60000,3.12,2.84,3.07,2.50
7145990,33.75,21.58,99.45,24296,60000,3.12,2.85,3.07,2.50
